x,y,f_x,f_y
-0.43054634471004094,-8.008936913627032,1.901241861578122,-1.7221853788401638
-0.4115339260942597,-8.026158767415433,1.9094585235957022,-1.6461357043770388
-0.3924393408583027,-8.042620124459203,1.9175767466210611,-1.5697573634332107
-0.37326357339209204,-8.058317698093536,1.925592964646763,-1.4930542935683682
-0.35400764374562443,-8.07324824102922,1.9335035137355001,-1.4160305749824977
-0.3346726086082694,-8.087408546779045,1.9413046322869403,-1.3386904344330777
-0.31525956228540003,-8.100795451123377,1.9489924614331604,-1.2610382491416001
-0.29576963767106845,-8.113405833614793,1.9565630455693335,-1.1830785506842738
-0.27620400721537514,-8.125236619121637,1.9640123330264039,-1.1048160288615005
-0.2565638838851111,-8.136284779410252,1.9713361768925242,-1.0262555355404444
-0.23685052211618585,-8.146547334765657,1.9785303359900683,-0.9474020884647434
-0.21706521875628515,-8.156021355650305,1.9855904760150311,-0.8682608750251406
-0.19720931399613484,-8.164703964400557,1.9925121708456217,-0.7888372559845394
-0.1772841922876786,-8.172592336960403,1.9992909040268108,-0.7091367691507144
-0.1572912832474105,-8.179683704651909,2.005922070437536,-0.629165132989642
-0.13723206254303516,-8.185975355981805,2.0124009781471766,-0.5489282501721406
-0.11710805276156339,-8.191464638483525,2.018722850467789,-0.46843221104625354
-0.0969208242568855,-8.196148960593987,2.02488282820845,-0.387683297027542
-0.076671995974801,-8.200025793564263,2.030875972137867,-0.306687983899204
-0.05636323625342232,-8.203092673403255,2.036697265661214,-0.2254529450136893
-0.035996263596810185,-8.205347202853392,2.042341617716887,-0.14398505438724074
-0.015572847419641316,-8.206787053397266,2.0478038658985978,-0.06229138967856526
0.004905191239344662,-8.207409967294051,2.0530787798079073,0.019620764957378647
0.025435979037423735,-8.207213759644478,2.058161064641926,0.10174391614969494
0.046017589683842994,-8.20619632048298,2.063045365020513,0.18407035873537198
0.06664804333404813,-8.204355616895628,2.067726269056877,0.2665921733361925
0.0873253060246169,-8.201689695162266,2.0721983126749692,0.3493012240984676
0.10804728915136659,-8.198196682921282,2.0764559841765644,0.43218915660546636
0.12881184899313225,-8.193874791355228,2.0804937290603314,0.515247395972529
0.14961678628373556,-8.188722317395502,2.0843059550946,0.5984671451349423
0.17045984583468157,-8.182737645944153,2.0878870376448577,0.6818393833387263
0.19133871621113016,-8.175919252110765,2.0912313252563246,0.7653548648445206
0.2122510294636934,-8.16826570346232,2.094333145491202,0.8490041178547736
0.2331943609186054,-8.159775662283772,2.0971868110194096,0.9327774436744216
0.2541662290287995,-8.150447887847028,2.099786625960794,1.016664916115198
0.2751640952884074,-8.140281238685876,2.102126892475935,1.1006563811536296
0.29618536421316677,-8.12927467487434,2.1042019176017495,1.184741456852667
0.31722738338918427,-8.117427260305814,2.1060060203271727,1.268909533556737
0.338287443592456,-8.104738164970247,2.1075335389032,1.353149774369824
0.359362778981488,-8.091206667226547,2.108778838380576,1.437451115925952
0.38045056736529376,-8.076832156067288,2.109736318367371,1.521802269461175
0.4015479305489675,-8.061614133372677,2.110400420997612,1.60619172219587
0.4226519347589436,-8.045552216150718,2.110765639101075,1.6906077390357743
0.44375959114995434,-8.02864613876036,2.1108265245632043,1.7750383645998173
0.46486785639558637,-8.010895755114362,2.1105776968630376,1.8594714255823455
0.48597363336421673,-7.992301040858538,2.110013851775861,1.943894533456867
0.5070737718819753,-7.972862095523969,2.109129770226207,2.0282950875279013
0.5281650695842374,-7.95257914464869,2.1079203272756692,2.1126602783369495
0.5492442728569941,-7.931452541865321,2.106380501228881,2.1969770914279763
0.5703080778692828,-7.909482770951041,2.104505382839908,2.2812323114771313
0.5913531316976819,-7.88667044783627,2.1022901846002005,2.3654125267907276
0.6123760335436839,-7.863016322568362,2.0997302500882125,2.4495041341747354
0.633373336044566,-7.8385212812266145,2.0968210633597377,2.533493344178264
0.6543415466781634,-7.813186347784832,2.0935582583570493,2.6173661867126534
0.6752771292617339,-7.787012685917706,2.0899376283139777,2.7011085170469356
0.6961765055448736,-7.760001600747236,2.0859551351331795,2.7847060221794946
0.7170360568962054,-7.732154540525441,2.081606918711033,2.8681442275848217
0.7378521260833157,-7.703473098249592,2.0768893061848344,2.951408504333263
0.7586210191451641,-7.67395901320626,2.071798821076306,3.0344840765806564
0.7793390073559272,-7.643614172440453,2.066332192304819,3.117356029423709
0.8000023292789754,-7.612440612146217,2.0604863630432626,3.2000093171159016
0.8206071929094081,-7.580440518975058,2.0542584993890545,3.2824287716376324
0.8411497779032986,-7.547616231258681,2.047645998822516,3.3645991116131944
0.8616262378915237,-7.513970240142549,2.040646498424636,3.446504951566095
0.8820327028757701,-7.479505190626888,2.0332578828261827,3.5281308115030803
0.9023652817040319,-7.444223882511857,2.0254782918601575,3.6094611268161274
0.9226200646226335,-7.408129271243696,2.0173061278897735,3.690480258490534
0.9427931259015312,-7.371224468658791,2.0087400627844403,3.7711725036061248
0.9628805265293756,-7.333512743622729,1.9997790445166574,3.8515221061175025
0.9828783169745422,-7.294997522561554,1.9904223033533064,3.931513267898169
1.0027825400080752,-7.255682389882573,1.9806693576155239,4.011130160032301
1.0225892335842304,-7.21557108828225,1.970520018982179,4.0903569343369215
1.042294433774052,-7.174667518938881,1.959974397312957,4.169177735096208
1.0618941777471815,-7.132975741587918,1.9490329049681638,4.247576710988726
1.0813845067968633,-7.090499974478031,1.9376962606036057,4.325538027187453
1.1007614694028993,-7.047244594206156,1.9259654924202747,4.403045877611597
1.120021124327102,-7.00321413543004,1.913841940850073,4.480084497308408
1.1391595437356028,-6.9584132904569564,1.901327260660421,4.556638174942411
1.158172816342207,-6.912846908707532,1.888423422462338,4.632691265368828
1.1770570505668303,-6.866519996053844,1.8751327136084226,4.708228202267321
1.1958083777029145,-6.819437714031171,1.861457738469101,4.783233510811658
1.2144229550876056,-6.771605378923054,1.8474014180775449,4.857691820350422
1.232896969268381,-6.72302846071955,1.8329669891357836,4.931587877073524
